date,close,change%,open,volume
2017-01-26,0.00669,2.765,0.006511,1446950.0
2017-01-25,0.006513,-0.153,0.006527,522497.0
2017-01-24,0.00654,-2.534,0.006708,509262.0
2017-01-23,0.006697,-0.298,0.006718,309838.0
2017-01-22,0.006713,0.149,0.006706,362422.0
2017-01-21,0.006706,0.149,0.006694,553724.0
2017-01-20,0.006675,-5.119,0.007032,620052.0
2017-01-19,0.007034,4.767,0.006713,760684.0
2017-01-18,0.006709,-1.178,0.00679,1342730.0
2017-01-17,0.0068,0.443,0.006772,1842150.0
2017-01-16,0.006788,0.593,0.006747,699284.0
2017-01-15,0.006726,-2.039,0.006867,780822.0
2017-01-14,0.006863,3.782,0.00661,1307810.0
2017-01-13,0.006596,2.487,0.006434,2059340.0
2017-01-12,0.006423,0.156,0.006417,5013190.0
2017-01-11,0.006411,-4.472,0.006708,3436270.0
2017-01-10,0.006698,8.771,0.006157,2510530.0
2017-01-09,0.006167,-1.122,0.006239,702255.0
2017-01-08,0.006233,-2.35,0.006383,554133.0
2017-01-07,0.006366,0.315,0.006351,1351030.0
2017-01-06,0.006315,1.936,0.006197,1746150.0
2017-01-05,0.006201,-5.63,0.006572,4058170.0
2017-01-04,0.00657,2.976,0.006385,1642730.0
2017-01-03,0.006386,1.59,0.00629,1014830.0
2017-01-02,0.006311,-1.253,0.006386,1046250.0
